"id","created_at","session_label","signals_scraped","signals_verified","signals_approved","signals_blocked","crisis_detected","email_sent","errors_encountered"
"146","2026-04-06 19:00:37.828717+00","SCAN-2026-04-07-0000","8","3","3","5","True","True",""
"145","2026-04-06 16:00:46.069467+00","SCAN-2026-04-06-2100","8","3","3","5","True","True",""
"144","2026-04-06 13:00:53.098476+00","SCAN-2026-04-06-1800","8","3","3","5","True","True",""
"143","2026-04-06 10:00:47.931999+00","SCAN-2026-04-06-1500","8","2","2","6","True","True",""
"142","2026-04-06 07:00:36.503024+00","SCAN-2026-04-06-1200","7","2","2","5","True","True",""
"141","2026-04-06 04:00:44.512114+00","SCAN-2026-04-06-0900","7","3","3","4","True","True",""
"140","2026-04-06 01:00:41.526625+00","SCAN-2026-04-06-0600","8","2","2","6","True","True",""
"139","2026-04-05 22:00:37.868542+00","SCAN-2026-04-06-0300","8","3","3","5","True","True",""
"138","2026-04-05 19:00:43.655613+00","SCAN-2026-04-06-0000","12","3","3","9","True","True",""
"137","2026-04-05 16:00:41.231799+00","SCAN-2026-04-05-2100","12","3","3","9","True","True",""
"136","2026-04-05 13:00:34.758615+00","SCAN-2026-04-05-1800","8","2","2","6","True","True",""
"135","2026-04-05 10:00:35.457718+00","SCAN-2026-04-05-1500","8","3","3","5","True","True",""
"134","2026-04-05 07:00:39.048879+00","SCAN-2026-04-05-1200","12","3","3","9","True","True",""
"133","2026-04-05 04:00:42.93104+00","SCAN-2026-04-05-0900","12","2","2","8","True","True",""
"132","2026-04-05 01:00:55.709833+00","SCAN-2026-04-05-0600","8","2","2","6","True","True",""
"131","2026-04-04 22:00:34.414675+00","SCAN-2026-04-05-0300","8","2","2","6","True","True",""
"130","2026-04-04 19:00:43.321232+00","SCAN-2026-04-05-0000","12","3","3","9","True","True",""
"129","2026-04-04 16:00:46.411795+00","SCAN-2026-04-04-2100","7","3","3","4","True","True",""
"128","2026-04-04 13:00:33.046039+00","SCAN-2026-04-04-1800","5","1","1","4","True","True",""
"127","2026-04-04 10:00:35.807271+00","SCAN-2026-04-04-1500","7","2","2","5","True","True",""
"126","2026-04-04 07:00:35.907753+00","SCAN-2026-04-04-1200","8","3","3","5","True","True",""
"125","2026-04-04 04:00:35.972986+00","SCAN-2026-04-04-0900","8","2","2","6","True","True",""
"124","2026-04-04 01:00:37.742071+00","SCAN-2026-04-04-0600","8","3","3","5","True","True",""
"123","2026-04-03 22:00:37.223561+00","SCAN-2026-04-04-0300","8","3","3","5","True","True",""
"122","2026-04-03 19:00:36.465649+00","SCAN-2026-04-04-0000","8","2","2","6","True","True",""
"121","2026-04-03 16:00:29.304397+00","SCAN-2026-04-03-2100","8","3","3","5","True","True",""
"120","2026-04-03 13:00:34.31078+00","SCAN-2026-04-03-1800","12","3","3","9","True","True",""
"119","2026-04-03 10:00:46.64434+00","SCAN-2026-04-03-1500","12","2","2","10","True","True",""
"118","2026-04-03 07:00:44.456042+00","SCAN-2026-04-03-1200","8","3","3","5","True","True",""
"117","2026-04-03 04:00:39.099063+00","SCAN-2026-04-03-0900","8","2","2","6","True","True",""
"116","2026-04-03 01:00:34.524961+00","SCAN-2026-04-03-0600","12","3","3","9","True","True",""
"115","2026-04-02 22:00:41.370066+00","SCAN-2026-04-03-0300","12","3","3","9","True","True",""
"114","2026-04-02 19:00:38.637704+00","SCAN-2026-04-03-0000","12","3","3","9","True","True",""
"113","2026-04-02 16:00:40.048322+00","SCAN-2026-04-02-2100","8","3","3","5","True","True",""
"112","2026-04-02 13:00:37.783402+00","SCAN-2026-04-02-1800","12","3","3","9","True","True",""
"111","2026-04-02 10:00:36.132472+00","SCAN-2026-04-02-1500","12","3","3","9","True","True",""
"110","2026-04-02 07:00:30.046392+00","SCAN-2026-04-02-1200","12","3","3","9","True","True",""
"109","2026-04-02 04:00:40.118665+00","SCAN-2026-04-02-0900","12","3","3","9","True","True",""
"108","2026-04-02 01:00:31.328568+00","SCAN-2026-04-02-0600","8","3","3","5","True","True",""
"107","2026-04-01 22:00:37.419401+00","SCAN-2026-04-02-0300","8","3","3","5","True","True",""
"106","2026-04-01 19:00:42.114324+00","SCAN-2026-04-02-0000","12","3","3","9","True","True",""
"105","2026-04-01 16:00:34.287126+00","SCAN-2026-04-01-2100","8","2","2","6","True","True",""
"104","2026-04-01 13:00:37.292394+00","SCAN-2026-04-01-1800","12","3","3","9","True","True",""
"103","2026-04-01 10:00:37.882715+00","SCAN-2026-04-01-1500","8","2","2","6","True","True",""
"102","2026-04-01 07:00:43.097639+00","SCAN-2026-04-01-1200","12","1","1","11","True","True",""
"101","2026-04-01 04:00:43.375246+00","SCAN-2026-04-01-0900","12","3","3","9","True","True",""
"100","2026-04-01 01:00:36.839147+00","SCAN-2026-04-01-0600","8","2","2","6","True","True",""
"99","2026-03-31 22:00:52.421935+00","SCAN-2026-04-01-0300","8","2","2","6","True","True",""
